"id","created_date","modified_date","available_globally","locale","original_title","release_date","runtime","title"
3622,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,,45,Strawberry Shortcake and the Beast of Berry Bog
3623,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,45,Strawberry Shortcake’s Perfect Holiday
3624,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2020-08-07,46,The Magic School Bus Rides Again Kids In Space
3625,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2020-10-20,46,The Magic School Bus Rides Again The Frizz Connection
3626,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,44,The Powerpuff Girls: 'Twas The Fight Before Christmas
3627,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2017-05-16,35,Puss in Book: Trapped in an Epic Tale
3628,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2021-11-24,33,Robin Robin
3629,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2016-09-13,25,Extremis
3630,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,25,Little Lunch: The Nightmare Before Graduation
3631,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2021-09-16,23,My Heroes Were Cowboys
3632,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2020-12-08,24,Super Monsters: Santa’s Super Monster Helpers
3633,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2019-10-04,24,Super Monsters: Vida's First Halloween
3634,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,23,The Powerpuff Girls Rule!!!
3635,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,23,Thomas & Friends: Marvelous Machinery: World of Tomorrow
3636,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,Bogdan Boner: Wielkanoc,2024-03-27,13,Bad Exorcist: Easter
